n1.name,n1.identifier,n2.name,n2.identifier,r.cell_line,r.pubmed_id,r.source,r.statistic_score
bmk-1,179948,gsp-3,172082,null,25984351,Text Mining,0.83
bmk-1,179948,vha-17,177757,null,25984351,Text Mining,0.71
bmk-1,179948,let-70,178006,null,25984351,Text Mining,0.81
bmk-1,179948,H06I04.3,175414,null,25984351,Text Mining,0.8
bmk-1,179948,sfxn-1.3,180055,null,25984351,Text Mining,0.75
bmk-1,179948,yars-2,177237,null,25984351,Text Mining,0.84
bmk-1,179948,tba-1,172831,null,25984351,Text Mining,0.8
bmk-1,179948,cogc-3,171867,null,25984351,Text Mining,0.82
bmk-1,179948,par-6,173137,null,25984351,Text Mining,0.79
bmk-1,179948,pkc-3,173914,null,25984351,Text Mining,0.73
bmk-1,179948,pabp-2,172768,null,25984351,Text Mining,0.9
bmk-1,179948,cdk-12,175559,null,25984351,Text Mining,0.8
bmk-1,179948,ddx-23,175818,null,25984351,Text Mining,0.83
bmk-1,179948,klp-16,172784,null,25984351,Text Mining,0.85
bmk-1,179948,tat-5,172748,null,25984351,Text Mining,0.91
bmk-1,179948,mel-11,174484,null,25984351,Text Mining,0.8
bmk-1,179948,cyc-2.1,177243,null,25984351,Text Mining,0.72
bmk-1,179948,mrpl-51,188457,null,25984351,Text Mining,0.8
bmk-1,179948,tbg-1,176361,null,25984351,Text Mining,0.78
bmk-1,179948,symk-1,182490,null,25984351,Text Mining,0.77
bmk-1,179948,eif-2Bdelta,179331,null,25984351,Text Mining,0.84
bmk-1,179948,nuo-6,172438,null,25984351,Text Mining,0.88
bmk-1,179948,kbp-3,175097,null,25984351,Text Mining,0.82
bmk-1,179948,mrpl-23,188274,null,25984351,Text Mining,0.81
bmk-1,179948,skr-2,172773,null,25984351,Text Mining,0.82
bmk-1,179948,vha-3,177018,null,25984351,Text Mining,0.81
bmk-1,179948,dli-1,178260,null,25984351,Text Mining,0.95
bmk-1,179948,xbx-3,187445,null,25984351,Text Mining,0.75
bmk-1,179948,gtf-2E2,174765,null,25984351,Text Mining,0.83
bmk-1,179948,rad-51,177914,null,25984351,Text Mining,0.71
bmk-1,179948,pat-9,181714,null,25984351,Text Mining,0.93
bmk-1,179948,F37C12.3,176008,null,25984351,Text Mining,0.87
bmk-1,179948,B0280.9,175994,null,25984351,Text Mining,0.72
bmk-1,179948,myo-1,172471,null,25984351,Text Mining,0.89
hlh-1,173788,hnd-1,183457,null,15892873,Text Mining,0.55
dss-1,175284,brc-2,175962,null,18471277,Text Mining,0.25
unc-120,172636,hlh-1,173788,null,15892873,Text Mining,0.55
unc-120,172636,hnd-1,183457,null,15892873,Text Mining,0.69
mcm-5,175552,mcm-2,174841,null,17568563,Text Mining,0.25
par-1,179912,mpk-1,175545,null,19720857,Text Mining,0.25
