n1.name,n1.identifier,n2.name,n2.identifier,r.cell_line,r.pubmed_id,r.source,r.statistic_score
ACS2,850846,GCN5,853167,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,VMA5,853782,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,VPS41,851653,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,VPS51,853890,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,HFI1,855821,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,SPT20,854017,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,SWC5,852532,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,ADA2,852059,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,AAT2,850714,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,VPS3,852106,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,ARP6,850774,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,ESA1,854418,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,SPT3,852001,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,BDF1,851115,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,NGG1,851756,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,SWC4,852885,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,PEP7,851923,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,GET2,856817,null,16857587,Low Throughput,0.8
ACS2,850846,MON2,855420,null,16857587,Low Throughput,0.8
ACS2,850846,SPT7,852373,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,VPS15,852394,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,EAF1,851962,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,SPT8,850744,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,YNG2,856490,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,STM1,850843,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,SNF8,856105,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,PEP5,855271,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,SEC28,854734,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,HTZ1,854150,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,VPS45,852785,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,RAD6,852822,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,HHT1,852295,null,18676811,High Throughput|Low Throughput,0.9
ACS2,850846,VAM3,854273,null,18676811,High Throughput|Low Throughput,0.9
